Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-3629.121	-3819.617	190.4965	1.583357	0.6004373
6	-4196.186	-4387.235	191.0483	1.002653	0.6687982
12	-2854.71	-3043.316	188.6057	2.129588	1.829849
18	-2972.873	-3162.293	189.4203	2.129588	1.219803
24	-2848.356	-3034.622	186.2664	5.831243	0.4971665
30	-5275.922	-5467.715	191.7932	0.3030495	0.5263128
36	-3954.627	-4144.527	189.8999	0.4983947	2.056822
42	-2922.639	-3111.611	188.9724	2.243203	1.485428
48	-4497.335	-4688.629	191.2949	0.3972593	1.094454
54	-3237.718	-3427.578	189.8603	2.168154	0.70968
60	-5382.743	-5574.675	191.9315	0.1507916	0.4175016
66	-2850.27	-3038.709	188.4384	3.658846	0.4867662
72	-3220.849	-3411.223	190.3739	1.525462	0.88417
78	-3489.931	-3680.45	190.5189	1.355489	0.9122572
84	-5219.805	-5411.82	192.0143	0.05133396	0.6373713
90	-3423.121	-3612.317	189.1955	0.9145308	2.244667
96	-3879.803	-4069.612	189.8097	0.3003239	2.244667
102	-3579.541	-3768.956	189.4151	2.402507	0.2127502
108	-5243.362	-5435.116	191.7541	0.2819611	0.3444244
114	-3568.674	-3759.197	190.5233	1.492059	0.7311786
120	-3566.83	-3757.15	190.3192	1.465694	1.00587
126	-4111.057	-4301.904	190.8472	0.7335289	1.193415
132	-4115.972	-4306.973	191.0011	0.5796872	1.193415
138	-4541.454	-4732.912	191.4583	0.267864	1.062703
144	-4058.535	-4249.322	190.7877	1.308568	0.5267068
150	-5226.618	-5418.422	191.8038	0.1265938	0.8473941
156	-3022.305	-3209.7	187.3947	1.706751	2.872177
162	-4690.865	-4882.211	191.3462	0.02125051	1.368514
168	-3099.846	-3289.502	189.6555	1.697431	1.379939
174	-2816.805	-3004.973	188.168	3.929568	0.4926013
180	-4254.234	-4445.073	190.839	1.154931	0.3054522
186	-4836.338	-5028.125	191.787	0.2774426	0.6400926
192	-3570.697	-3761.279	190.5821	1.361551	0.8309651
198	-2837.405	-3023.869	186.4639	1.928393	3.295538
204	-3007.753	-3196.625	188.8715	3.004866	0.2366559
210	-3005.36	-3194.448	189.088	2.074166	1.525437
216	-3346.281	-3536.563	190.2821	1.798075	0.5992203
222	-2995.574	-3185.115	189.5405	2.202161	1.047083
228	-6045.908	-6237.608	191.7	0.2653319	0.2848489
234	-3142.849	-3332.691	189.8416	2.112398	0.817838
240	-6021.067	-6212.859	191.7915	0.1700067	0.2823823
246	-5568.74	-5760.598	191.858	0.1608968	0.3269223
252	-2920.656	-3109.493	188.8378	3.033596	0.9156019
258	-5625.165	-5817.044	191.8789	0.1979904	0.4049507
264	-4037.089	-4225.485	188.3968	0.09250717	3.238249
270	-3503.269	-3693.517	190.2479	1.818815	0.3858068
276	-3428.106	-3618.354	190.2479	1.818815	0.3858068
282	-4918.88	-5110.753	191.873	0.1992008	0.6214315
288	-4298.55	-4489.928	191.3782	0.6940354	0.6214315
